,RFxName,RFx_Received_Date__c,RFx_Type__c,Industry_x__c,Opportunity__c,AccountName,Division__c,USD_Price__c,StageName,Industry__c,Account_Country__c,Type,Name
319,SC Johnson & Sons Inc. - Archiving Process,2020-12-04 00:00:00.0000000,RFQ (Request for Quote),Consumer Packaged Goods,0063z000016YLqJAAW,SC Johnson InfoArch,Enterprise Content Services,159885.0,4. Develop Solution,Consumer Goods,US,New Customer,Sales
320,VPV Intelligent Capture RFI,2020-10-22 00:00:00.0000000,RFI (Request for Information),Insurance,0063z000016BV8tAAG,VPV - Intelligent Capture-Controlling,Indirect Sales,158916.82,2. Gain Access,Insurance,DE,New Customer,Sales
321,OQ Correspond MGMT ITT,2020-11-12 00:00:00.0000000,ITT (Invitation to Tender),Energy,0063z000016XSA0AAO,OQ_Correspondence Management for xECM Implementation_FF,Professional Services,158000.01,Lost,Oil & Gas,OM,Existing Customer/Expand Existing Solution,Global Services
322,Government of the District of Columbia (DC) Employment Services - AppWorks,2020-08-14 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015ZsysAAC,DC Department of Employment Services-,US Public Sector Sales,157500.0,Dropped,Government - Local,US,Existing Customer/New Solution,Sales
323,The District of Columbia Office of Contracting and Procurement - Unemployment In,2020-11-29 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015ZsysAAC,DC Department of Employment Services-,US Public Sector Sales,157500.0,Dropped,Government - Local,US,Existing Customer/New Solution,Sales
324,Commonwealth of Massachusetts - Contract Vehicle,2020-07-21 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015YUnhAAG,COMMONWEALTH OF MASSACHUSETTS OPERATIONAL SERVICES DIVISION-,US Public Sector Sales,157500.0,Lost,Government - State/Provincial,US,Existing Customer - More Capacity,Sales
325,Canadian Broadcasting Corporation (CBC) Radio Canada - eSignature Solution,2020-12-04 00:00:00.0000000,RFP (Request for Proposal),Media & Entertainment,0063z000016YYDnAAO,GC - CBC eSignature,Enterprise Content Services,155480.66,5. Propose Solution,Media & Entertainment,CA,Existing Customer - New Functionality,Cloud
326,CBC - E-signature/E-Contract Solution,2020-09-14 00:00:00.0000000,RFI (Request for Information),Media & Entertainment,0063z000016YYDnAAO,GC - CBC eSignature,Enterprise Content Services,155480.66,5. Propose Solution,Media & Entertainment,CA,Existing Customer - New Functionality,Cloud
327,New Zealand Police,2020-07-16 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015YknVAAS,NZ Police - OTMM,APAC Sales,153282.89,3. Establish Needs,"Government - Justice, Public Order, and Safety",NZ,Existing Customer - New Functionality,Sales
328,SaaS Plateforme RFP,2020-07-06 00:00:00.0000000,RFP (Request for Proposal),Media & Entertainment,006D000000x8LXrIAM,France Televisions SA-AI,Analytics & AI Sales,152979.03,Dropped,Media & Entertainment,FR,New Customer,Sales
329,BCBS RI F2M,2020-08-12 00:00:00.0000000,RFQ (Request for Quote),Insurance,0063z0000138oRiAAI,BCBS-RI F2M Direct,CEM Sales,152460.0,Dropped,Insurance,US,Existing Customer - New Functionality,Cloud
330,Arendt - Luxembour Bank - Document Management - RFI,2020-12-14 00:00:00.0000000,RFI (Request for Information),Financial Services,0063z000016Yk2HAAS,Arendt Business Advisory- DMS,Indirect Sales,150102.83,Lost,Legal,LU,New Customer,Sales
331,Arrive Logistics MS,2021-03-08 00:00:00.0000000,RFI (Request for Information),,0063z000016bIuUAAU,Arrive Logistics - CBT/MS,Business Network,150000.0,Dropped,Transportation & Distribution,US,New Customer,Cloud
332,City of Long Beach - System of Care,2020-08-20 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015aA8HAAU,City of Long Beach Department of Health and Human Services - Cloud,US Public Sector Sales,150000.0,Dropped,Government - Local,US,New Customer,Sales
333,Aims Community College - Document Imaging and Management System,2020-11-20 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000016XlbQAAS,Aims Community College - Documentum (Armedia Priming),US Public Sector Sales,149399.5,Dropped,Education,US,New Customer,Sales
334,DGUV - RFP Upgrade DocCenter Los2,2020-07-24 00:00:00.0000000,RFP (Request for Proposal),Insurance,0063z000015a5XsAAI,DGUV - RFP Upgrade DocCenter Los2,Professional Services,148231.0,G. Booked,Insurance,DE,,Global Services
335,The Ottawa Hospital (TOH) - Archiving Software Solution,2020-07-14 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000015Y5ufAAC,TOH - InfoArchive,Enterprise Content Services,148175.25,Lost,Healthcare,CA,Existing Customer - New Functionality,Sales
336,SABB Exstream InfoArchive RFP,2021-03-04 00:00:00.0000000,RFQ (Request for Quote),Financial Services,0063z000017dpQPAAY,AlAwal SABB - Exstream & InfoArchive,Enterprise Content Services,147025.0,2. Gain Access,Banking,SA,New Customer,Sales
337,Brown-Forman - MS,2020-09-29 00:00:00.0000000,RFP (Request for Proposal),,0063z000014xTPxAAM,BF-RFP,Business Network,144000.0,5. Propose Solution,Food & Beverage Manufacturing,US,Existing Customer - New Functionality,Cloud
338,BorgWarner Inc. - Account Payables Finance Process Automation,2020-12-22 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z000016BnudAAC,Borg Warner Inc: BEAR Part 2 - SAP Royalty - VIM,Enterprise Content Services,143437.0,4. Develop Solution,Automotive,US,Existing Customer - New Functionality,Sales
339,Degussa Bank-Exstream CE,2020-08-19 00:00:00.0000000,RFP (Request for Proposal),,0063z000015XD84AAG,Degussa Bank-Exstream CE,CEM Sales,143224.07,5. Propose Solution,Banking,DE,New Customer,Sales
340,Orange County Sanitation District - Records Management Implementation,2020-10-28 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016BSULAA4,Orange County Sanitation District - Documentum - NexLogica,US Public Sector Sales,142795.18,3. Establish Needs,Waste Management & Remediation Services,US,Existing Customer - New Functionality,Sales
341,NJ Counsel - eDiscovery Solutions,2020-12-11 00:00:00.0000000,RFI (Request for Information),Legal,0063z000015Z3kOAAS,Focused: Dema Law/MMOD - AXC On-Demand - 1TB,LegalTech Sales,138376.0,Order Ready for Finance Review,Legal,US,New Customer,Sent to Billing Operations
342,GED Solution RFP,2020-12-03 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000016YWDEAA4,Engie - Storengy GED - On Prem,Enterprise Content Services,138094.8,Dropped,Oil & Gas,FR,Existing Customer - New Functionality,Sales
343,SSC - Stats MS,2020-10-28 00:00:00.0000000,RFP (Request for Proposal),,0063z000016AiwcAAC,SSC-Stats Can Core Share,Enterprise Content Services,137849.31,Dropped,"Government - Justice, Public Order, and Safety",CA,Existing Customer - New Functionality,Cloud
344,Shared Services Canada (SSC) - Electronic File Transfer for Statistics Canada,2020-09-29 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016AiwcAAC,SSC-Stats Can Core Share,Enterprise Content Services,137849.31,Dropped,"Government - Justice, Public Order, and Safety",CA,Existing Customer - New Functionality,Cloud
345,Long Island Power Authority (LIPA) - Enterprise Document Management,2020-08-04 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000015ZCkWAAW,State of New York - Long Island Power Authority-EDRMS RFP License,US Public Sector Sales,136768.74,4. Develop Solution,Utilities,US,New Customer,Sales
346,RFI Bayer CMO Collaboration IT Platform,2021-01-18 00:00:00.0000000,RFI (Request for Information),Healthcare,0063z000016a8XhAAI,Bayer - RFI CMO Collaboration IT Platform,Enterprise Content Services,136244.23,2. Gain Access,Healthcare,DE,Existing Customer - New Functionality,Cloud
347,Bayer - RFI CMO Collaboration IT Platform - additional questions,2021-02-24 00:00:00.0000000,RFI (Request for Information),Healthcare,0063z000016a8XhAAI,Bayer - RFI CMO Collaboration IT Platform,Enterprise Content Services,136244.23,2. Gain Access,Healthcare,DE,Existing Customer - New Functionality,Cloud
348,"Telephone and Data Systems, Inc. (TDS) - Invoice Management Solution",2021-01-14 00:00:00.0000000,RFI (Request for Information),Telecommunications,0063z000016YB8PAAW,TDS- ICC,Enterprise Content Services,135283.22,4. Develop Solution,Telecommunications,US,Existing Customer/New Solution,Sales
349,CNH MS,2020-10-29 00:00:00.0000000,RFP (Request for Proposal),Engineering & Construction,0063z000016BahtAAC,CNH Supplier Parts Staff Aug RFP,Business Network,134995.0,5. Propose Solution,Industrial Manufacturing,US,Existing Customer - New Functionality,Cloud
350,GIZ- xECM  for Success Factors SAP Royalty,2021-02-23 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016YHl2AAG,GIZ- RFP xECM  for Success Factors SAP Royalty,Enterprise Content Services,131277.46,4. Develop Solution,"Religious, Grantmaking & Civic Organizations",DE,Existing Customer - New Functionality,Sales
351,Australian Taxation Office - MS Biz TGMS,2020-08-06 00:00:00.0000000,RFP (Request for Proposal),,0063z0000136IyXAAU,Australian Taxation Office eInvoicing Access Point AP and AR,APAC Sales,129833.86,5. Propose Solution,Government - Federal,AU,Existing Customer - New Functionality,Cloud
352,Hydro Quebec - Legal Document Management,2020-07-27 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000015Yq4vAAC,HQ - Legal AppWorks Licences,Enterprise Content Services,125306.99,Dropped,Utilities,CA,Existing Customer - New Functionality,Sales
353,RFP CEDOC,2020-08-26 00:00:00.0000000,RFP (Request for Proposal),Insurance,0063z0000168SJQAA2,PortoSeguro_ECM,LATAM Sales,118044.54,4. Develop Solution,Insurance,BR,Existing Customer - More Capacity,Sales
354,CUNA Mutual Group - Contact Management,2020-08-06 00:00:00.0000000,RFI (Request for Information),Insurance,0063z000015ZLK7AAO,Contract Life Cycle Mgmt RFI,Enterprise Content Services,117035.03,Lost,Insurance,US,Existing Customer - New Functionality,Sales
355,Oklahoma State University - Digital Asset Management Services,2020-10-12 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000014XeogAAC,OK - State University-OTMM,US Public Sector Sales,116610.0,4. Develop Solution,Education,US,Existing Customer - New Functionality,Sales
356,Schweiz Tourismus-OTMM,2020-07-24 00:00:00.0000000,RFI (Request for Information),Travel,0063z000015YSO2AAO,Schweiz Tourismus-OTMM,CEM Sales,114929.21,Dropped,Tourism and Food Services,CH,Existing Customer - New Functionality,Sales
357,Cheyenne Housing Authority - Electronic Document Management System,2021-01-12 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016ZnXMAA0,"WY- Cheyenne Housing Authority-Intelligent Capture, Content suite",US Public Sector Sales,114160.2,5. Propose Solution,Government - Local,US,New Customer,Sales
358,Car Care Plan CCM RFI,2020-08-18 00:00:00.0000000,RFI (Request for Information),Insurance,0063z000015ZvVmAAK,CCP - Upgrade license to Exstream,CEM Sales,113547.88,Lost,Insurance,GB,Existing Customer - More Capacity,Sales
359,City of Ottawa - Electronic Document & Records Management System,2020-11-20 00:00:00.0000000,RFP (Request for Proposal),Public Sector,006D000000t1u1eIAA,City of Ottawa-EDRMS System,Enterprise Content Services,112917.01,Dropped,Government - Local,CA,New Customer,Sales
360,AGCO GmbH-xEVM for SFSF,2020-10-12 00:00:00.0000000,RFI (Request for Information),,0063z000016AZF0AAO,AGCO GmbH-xEVM for SFSF,Enterprise Content Services,111673.47,Dropped,Engineering & Construction,DE,Existing Customer - New Functionality,Sales
361,Marine Corps System Command (MCSC) - Integrated Information Intelligence (I3P),2021-02-09 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017cOVGAA2,US Navy/MARFORCYBER/Magellan/OTPSS & LP3/Intellipeak,US Public Sector Sales,109591.93,4. Develop Solution,Government - Federal,US,Existing Customer - New Functionality,Sales
362,Customer Communication Management System (CCMS),2021-02-08 00:00:00.0000000,RFP (Request for Proposal),,0063z000016BVGOAA4,State Trustees - CCM,APAC Sales,108405.6,Dropped,Banking,AU,Existing Customer - New Functionality,Sales
363,Customer Communication Management System (CCMS),2021-02-08 00:00:00.0000000,RFP (Request for Proposal),,0063z000016BVGOAA4,State Trustees - CCM,APAC Sales,108405.6,Dropped,Banking,AU,Existing Customer - New Functionality,Sales
364,Customer Communication Management System (CCMS),2021-02-25 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016BVGOAA4,State Trustees - CCM,APAC Sales,108405.6,Dropped,Banking,AU,Existing Customer - New Functionality,Sales
365,Psioxus Therapeutics ECM RFP,2021-02-17 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000011pG6yAAE,Psioxus Therapeutics-ECM RFP Engaged,Indirect Sales,108066.89,Dropped,Life Sciences,GB,New Customer,Sales
366,"State of North Dakota, Office of Attorney General - eDiscovery",2021-02-24 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000017cW1AAAU,North Dakota Office of Attorney General-Axcelerate Cloud/Insight,US Public Sector Sales,106625.6,4. Develop Solution,Government - State/Provincial,US,New Customer,Cloud
367,The Ontario Municipal Utilities (OMUC) - Electronic Document Management Consulti,2021-01-14 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016ZvsZAAS,Ontario Municipal Utilities Company - Documentum,US Public Sector Sales,106510.0,3. Establish Needs,Utilities,US,New Customer,Sales
368,Los Angeles County Department of Medical Examiner-Coroner - Case Management Syst,2021-01-21 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016ZvsZAAS,Ontario Municipal Utilities Company - Documentum,US Public Sector Sales,106510.0,3. Establish Needs,Utilities,US,New Customer,Sales
369,Verizon Wireless - Document Management & Document Workflow Management,2020-08-31 00:00:00.0000000,RFI (Request for Information),Telecommunications,0063z000012iLFPAA2,Verizon - VBG Pub Sector - xECM +Brava on OT paper - 500 users,Enterprise Content Services,105975.42,Lost,Telecommunications,US,Existing Customer - New Functionality,Sales
370,State of Vermont - AppWorks,2020-08-12 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015ZVKfAAO,State of Vermont DPS & DFS-EDRMS RFI,US Public Sector Sales,105010.0,4. Develop Solution,Government - State/Provincial,US,New Customer,Sales
371,Missouri Department of Corrections - Forms Management Software,2021-03-18 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017e4cAAAQ,Missouri Department of Corrections-Intelligent Capture and ECM,US Public Sector Sales,103000.0,3. Establish Needs,Government - State/Provincial,US,New Customer,Sales
372,Escambia County - Case Management,2020-07-29 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015YzmfAAC,Escambia County Corrections RFP (Stellar),US Public Sector Sales,102726.54,Dropped,Government - Local,US,New Customer,Sales
373,US Marine Corps (USMC) - Business Intelligence Tool,2020-12-09 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016YIUqAAO,US Navy/USMC/MarCorpSyscom-MCSELMS/Magellan,US Public Sector Sales,102678.08,4. Develop Solution,Automotive,US,New Customer/New Solution,Sales
374,COJO 2024 - DAM RFP (SAP),2020-12-30 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016ZOttAAG,SBO Paris 2024 Mediatheque,CEM Sales,101957.99,Dropped,Media & Entertainment,FR,SAP driven by SAP,Cloud
375,HealthShare Victoria - MS,2021-03-11 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000017dl5TAAQ,HealthShare VIC - Managed Services,APAC Sales,101809.8,5. Propose Solution,Healthcare,AU,New Customer,Cloud
376,British Columbia Investment Management Corporation - Legal Affairs Document Mana,2021-02-11 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z0000169Xl2AAE,BCI-Contente server,Enterprise Content Services,100999.79,4. Develop Solution,Banking,CA,New Customer,Sales
377,"Alcorn State University - Website Redesign, Development and Content Management S",2020-10-19 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000016AvUoAAK,Alcorn State University - TeamSite,US Public Sector Sales,100000.0,Dropped,Education,US,New Customer,Sales
378,North Carolina Community College System (NCCCS) - Enterprise Content Management,2020-10-05 00:00:00.0000000,RFP (Request for Proposal),Education,0063z0000169tnpAAA,"NC Community College System (RFP) - Armedia - Content Suite, AppWorks, & Intelligent Capture",US Public Sector Sales,100000.0,Dropped,Education,US,New Customer,Sales
379,Mission Springs Water District (MSWD) - TeamSite,2020-08-14 00:00:00.0000000,RFQ (Request for Quote),Utilities,0063z000015a2INAAY,City of San Bernardino - TeamSite,US Public Sector Sales,100000.0,Dropped,Government - Local,US,Existing Customer - New Functionality,Sales
380,City of San Bernardino - Web Content Management,2020-08-18 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015a2INAAY,City of San Bernardino - TeamSite,US Public Sector Sales,100000.0,Dropped,Government - Local,US,Existing Customer - New Functionality,Sales
381,State of Wyoming - Document Management Solution,2020-07-07 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015XmrIAAS,ASO-WST-Wyoming Fish & Wildlife ECM RFP,Professional Services,100000.0,Dropped,Government - State/Provincial,US,,Global Services
382,Travis County - Digital Preservation System,2020-10-13 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016AeGJAA0,TX - Travis County - InfoArchive w/Cloud,US Public Sector Sales,100000.0,Dropped,"Religious, Grantmaking & Civic Organizations",US,Existing Customer - New Functionality,Sales
383,Yale University - Content Services Platform,2020-09-29 00:00:00.0000000,RFI (Request for Information),Education,0063z0000169wFVAAY,Yale University- Content Management RFI,US Public Sector Sales,100000.0,3. Establish Needs,Education,US,New Customer,Sales
384,County of Santa Barbara - Content Management Services,2020-07-24 00:00:00.0000000,RFQ (Request for Quote),Public Sector,0063z000015YzevAAC,COUNTY OF SANTA BARBARA - TeamSite,US Public Sector Sales,100000.0,Dropped,Government - Local,US,New Customer,Sales
385,NCH Healthcare System - Electronic Health Record (EHR) Modernization Project,2020-11-06 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000014yQPTAA2,NCH Healthcare System- Tier4group- InfoArchive LRA,Indirect Sales,100000.0,Dropped,Healthcare,US,New Customer,Sales
386,The Board of Education of the City of St. Louis - Cloud-Based Document Managemen,2020-11-10 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000016C8toAAC,St Louis Public Schools- Cloud Based ECM system,US Public Sector Sales,100000.0,Lost,Education,US,New Customer,Cloud
387,CarMax - eDisocvery,2020-07-13 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z000015YDtAAAW,CarMax- InfoArchive,Enterprise Content Services,100000.0,2. Gain Access,Banking,US,Existing Customer - New Functionality,Sales
388,WinnCompanies - Digital Asset Management,2020-07-08 00:00:00.0000000,RFP (Request for Proposal),Engineering & Construction,0063z000015XmlBAAS,WinnCompanies - DAM RFP,CEM Sales,99225.0,Lost,"Real Estate, Rental & Leasing",US,New Customer,Cloud
389,Naval Air Systems Command - Content Management System,2020-08-06 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015ZVl2AAG,US Navy/NAVAIR/NAWCAD/NAVFAC-WOLF/RFI/TeamSite,US Public Sector Sales,95617.13,2. Gain Access,Defense & Intelligence,US,New Customer,Sales
390,WorkSafeBC - Digital Asset Management,2020-07-22 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015YUdoAAG,WorkSafeBC - DAM,CEM Sales,94597.97,3. Establish Needs,Insurance,CA,New Customer,Sales
391,State of West Virginia - Case Management System,2020-07-21 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015YGJ6AAO,"State of West Virginia, Offices of the Insurance Commissioner-",US Public Sector Sales,94500.0,Dropped,Government - State/Provincial,US,New Customer,Sales
392,Ramsay Health Care eDMS,2021-03-17 00:00:00.0000000,RFP (Request for Proposal),Healthcare,006D000001050Q9IAI,Ramsay Health Care UK- xECM via SAP Engaged,Indirect Sales,93840.99,Dropped,Healthcare,GB,Existing Customer - New Functionality,Sales
393,Bayer - MS AO,2021-01-20 00:00:00.0000000,RFI (Request for Information),Healthcare,0063z000016awxQAAQ,Bayer / CMO -Magellan part,Analytics & AI Sales,93427.24,2. Gain Access,Healthcare,DE,Existing Customer - New Functionality,Sales
394,Flagstar Bank - Legal Hold,2020-07-10 00:00:00.0000000,RFP (Request for Proposal),Legal,0063z000014y5wlAAA,Flagstar - EDiscovery New Purchase,Security Sales,90645.0,Lost,Banking,US,Existing Customer - New Functionality,Sales
395,Richmond Redevelopment and Housing Authority - Document Management System,2020-07-21 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015YU0WAAW,VA-Richmond/CS/Stellar,US Public Sector Sales,90300.2,Lost,Government - Local,US,New Customer,Sales
396,Request for Information (RFI) Project: Digital Asset Management,2020-07-06 00:00:00.0000000,RFI (Request for Information),,0063z000015ZV1iAAG,HILTI Aktiengesellschaft OpenText Media Management Connector for Salesforce Marketing Cloud,CEM Sales,90000.0,Lost,Industrial Manufacturing,LI,Existing Customer - New Functionality,Cloud
397,PHOENIX - AT - OTOS - 08.10.2020 - GK,2020-11-18 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z0000169hnbAAA,PHOENIX - AT - OTOS - 08.10.2020 - GK,CEM Sales,88231.15,Lost,Healthcare,DE,New Customer,Sales
398,Firstsource Solutions - Enterprise Content Management,2020-09-22 00:00:00.0000000,RFP (Request for Proposal),Computer Software,0063z000016AIyuAAG,FirstSource Solutions-AX embedded into Capture Solution for resale,Indirect Sales,87885.0,4. Develop Solution,Administrative & Support Services,US,Existing Customer - New Functionality,Sales
399,Chesterfield County - Digital Documents for Chesterfield County Courts,2021-03-08 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017dgGNAAY,Chesterfield County Courts-,US Public Sector Sales,87220.25,3. Establish Needs,Government - Local,US,New Customer,Sales
400,BSI Collab RFI,2020-11-09 00:00:00.0000000,RFI (Request for Information),Professional Services,0063z000016C0PgAAK,BSI - AppWorks - Direct - Controlling,Indirect Sales,86523.71,4. Develop Solution,Professional Services,GB,Existing Customer - New Functionality,Sales
401,E-Archive System RFP,2020-08-19 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000015aMXWAA2,SCA - InfoArchive RFP,Enterprise Content Services,86425.32,Lost,Consumer Goods,SE,New Customer,Sales
402,Boehringer Ingelheim- MTM,2020-10-30 00:00:00.0000000,RFI (Request for Information),,0063z000016BYAiAAO,Boehringer Ingelheim- MTM,Analytics & AI Sales,83573.13,3. Establish Needs,Life Sciences,DE,Existing Customer/New Solution,Sales
403,Surrey Council - Data Archive Solution - RFP,2021-03-24 00:00:00.0000000,RFP (Request for Proposal),,0063z000016ZyYwAAK,SCC - Archiving for SAP,Enterprise Content Services,82465.82,4. Develop Solution,Government - Local,GB,New Customer,Sales
404,RFP RfP_Smartmail XXL,2021-02-04 00:00:00.0000000,RFP (Request for Proposal),Media & Entertainment,0063z0000169Vt3AAE,Burda - E-Mail Management,Enterprise Content Services,82193.31,Dropped,Professional Services,DE,Existing Customer - New Functionality,Sales
405,RFI E-Mail-Archivierungslösung (Smartmail XXL) für Hubert Burda Media,2020-09-15 00:00:00.0000000,RFI (Request for Information),,0063z0000169Vt3AAE,Burda - E-Mail Management,Enterprise Content Services,82193.31,Dropped,Professional Services,DE,Existing Customer - New Functionality,Sales
406,Polizei_Hessen_LKA_DMS für LIMS,2020-08-03 00:00:00.0000000,RFI (Request for Information),,0063z000015YxHaAAK,Polizei_Hessen_LKA_DMS für LIMS,Enterprise Content Services,81783.7,4. Develop Solution,"Government - Justice, Public Order, and Safety",DE,New Customer,Sales
407,UoE - VETS - VNA solution - ITT,2020-12-21 00:00:00.0000000,ITT (Invitation to Tender),Education,0063z0000138IfOAAU,UoE - Archiving,Enterprise Content Services,80760.98,Dropped,Education,GB,New Customer,Sales
408,CIUSSS du Saguenay – Lac-Saint-Jean -  Logiciel intégré de gestion de documents,2020-09-28 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z0000169guFAAQ,CIUSSS du Saguenay – Lac-Saint-Jean-,Enterprise Content Services,80438.13,Dropped,"Government - Justice, Public Order, and Safety",CA,New Customer,Sales
409,Körber AG - VIM - SAP Royalty,2020-11-24 00:00:00.0000000,RFP (Request for Proposal),Professional Services,0063z000013jhSGAAY,Körber AG - VIM - SAP Royalty,Enterprise Content Services,78255.85,5. Propose Solution,Professional Services,DE,SAP driven by SAP,Sales
410,SIMS Metal Management - Enterprise Content Management (ECM) & Smart Accounts Pay,2020-09-29 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z00001692lCAAQ,SIMS Metal Management - VIM - SAP Royalty RFP,Indirect Sales,75000.0,Lost,Waste Management & Remediation Services,US,SAP driven by SAP,Sales
411,WorkSafeNB - Enterprise Backup Solution,2020-07-23 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015YfifAAC,Government of New Brunswick-Carbonite Backup,Enterprise Content Services,73881.62,Dropped,"Government - Justice, Public Order, and Safety",CA,Existing Customer - New Functionality,Sales
412,Arlanxeo - xECM CLM - SAP - 'Royalty',2020-08-24 00:00:00.0000000,RFI (Request for Information),,0063z0000168EThAAM,Arlanxeo - xECM CLM - SAP - 'Royalty',Enterprise Content Services,73098.65,Dropped,Chemicals,NL,SAP driven by SAP,Sales
413,Carpmaels Ransford DMS RFP,2020-09-04 00:00:00.0000000,RFP (Request for Proposal),Legal,0063z000015a3xPAAQ,Carpmaels & Ransford LLP-eDOCS,LegalTech Sales,69294.2,Lost,Legal,GB,New Customer,Sales
414,San Luis Obispo County - Process Generated Content Management,2020-10-05 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016AA2LAAW,San Luis Obispo County - Content Suite,US Public Sector Sales,68250.0,3. Establish Needs,Government - Local,US,Existing Customer - New Functionality,Sales
415,Eu Centre for Medium Range Weather RFI Contracts MGMT,2020-07-08 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015XoeZAAS,ECMWF - Contract Lifecycle Management - Direct,Indirect Sales,67077.03,Lost,"Religious, Grantmaking & Civic Organizations",GB,Existing Customer - New Functionality,Sales
416,Restaurant Brands International - Vendor Invoice Management,2020-09-24 00:00:00.0000000,RFI (Request for Information),Consumer Packaged Goods,0063z0000169kmPAAQ,Restaurant Brands International-VIM,Enterprise Content Services,57253.21,5. Propose Solution,Tourism and Food Services,CA,SAP driven by SAP,Sales
417,Novant Health - Legal Hold Replacement,2020-09-04 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z0000137tQnAAI,Novant Health_OpenText Legal Hold,LegalTech Sales,55988.0,Lost,Healthcare,US,New Customer,Cloud
418,AppWorks Contract Center Delaware,2020-07-31 00:00:00.0000000,RFP (Request for Proposal),Insurance,0063z000015Y4mpAAC,Carac- AppWorks + Contract Center- Delaware,Indirect Sales,52425.28,Lost,Insurance,FR,Existing Customer - New Functionality,Sales
419,VIM RFP,2021-03-31 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000016aVi0AAE,Nobia AB - SAP VIM and Archiving,Enterprise Content Services,51747.8,4. Develop Solution,Administrative & Support Services,SE,SAP driven by SAP,Sales
420,Canadian Museum of Immigration (CMI) at Pier 21 - Digital Preservation System,2021-01-28 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016aaGvAAI,CMI Digital Preservation System,Enterprise Content Services,51428.67,Dropped,Tourism and Food Services,CA,New Customer,Cloud
421,Rivian - VAN Followup,2020-12-18 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z0000137ehbAAA,Rivian VAN,Business Network,50000.0,Lost,Automotive,US,New Customer,Cloud
422,Essential Energy RFP Enterprise Content Management System,2020-11-16 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000013kAwRAAU,Essential Energy- ECM re-engagement,APAC Sales,47437.04,Dropped,Utilities,AU,New Customer,Sales
423,Sempra Energy - Legal Document Management,2020-07-21 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000015YUUHAA4,"Sempra Energy, DM - RFP",LegalTech Sales,46705.6,Dropped,Utilities,US,New Customer,Sales
